Local Time,Unix Time,PM1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude,
Wed Feb  8 16:25:20 2023,1675902320.3626027,1,1,2,25.1872265625,48151,31.719100974034497,1014.9010504400361,-13.73706448706006,
Wed Feb  8 16:25:21 2023,1675902321.5554192,1,1,2,25.2079296875,9124,31.571372531683565,1014.8986907590026,-13.717444392906215,
Wed Feb  8 16:25:22 2023,1675902322.7481806,1,1,2,25.246796875,15322,31.4530501551401,1014.9053257893688,-13.772612738400532,
Wed Feb  8 16:25:23 2023,1675902323.941256,1,1,2,25.2860546875,19076,31.373548753454116,1014.9108696662499,-13.818708236456466,
Wed Feb  8 16:25:25 2023,1675902325.1340706,1,1,2,25.32140625,21740,31.25505092709628,1014.9134729762717,-13.84035382574585,
Wed Feb  8 16:25:26 2023,1675902326.326493,1,1,2,25.34953125,24742,31.108397189387286,1014.907713361588,-13.792464634740057,
Wed Feb  8 16:25:27 2023,1675902327.5248432,1,1,2,25.37453125,26068,30.91749180233129,1014.9054628270933,-13.773752164101795,
Wed Feb  8 16:25:28 2023,1675902328.7165933,1,1,2,25.3958203125,27139,30.74852795921323,1014.9023186510016,-13.74760929468037,
Wed Feb  8 16:25:29 2023,1675902329.9149246,1,2,3,25.4149609375,28104,30.63458337260931,1014.9042812165494,-13.763927438941927,
Wed Feb  8 16:25:31 2023,1675902331.1064775,1,2,3,25.4325390625,28892,30.559083040225776,1014.9071375298587,-13.78767678228122,
Wed Feb  8 16:25:32 2023,1675902332.2980387,1,2,3,25.4469921875,29607,30.466857151287194,1014.9100596972628,-13.811973625616412,
Wed Feb  8 16:25:33 2023,1675902333.4963436,1,2,3,25.4583203125,30172,30.379910752535245,1014.9078770770891,-13.793825875176394,
Wed Feb  8 16:25:34 2023,1675902334.6878457,0,1,2,25.468671875,30888,30.26548135947455,1014.9075463676267,-13.791076134806438,
Wed Feb  8 16:25:35 2023,1675902335.8859982,0,1,2,25.476484375,31392,30.12350086962312,1014.9151347968672,-13.854171244564302,
Wed Feb  8 16:25:37 2023,1675902337.0843952,0,1,2,25.481171875,31867,29.970435887162242,1014.91761925214,-13.87482852992829,
Wed Feb  8 16:25:38 2023,1675902338.2759297,1,2,3,25.48703125,32145,29.812160717548327,1014.9133985224701,-13.83973476971601,
Wed Feb  8 16:25:39 2023,1675902339.4673371,1,2,3,25.4923046875,31348,29.70321065380141,1014.9116682626163,-13.825348283650099,
Wed Feb  8 16:25:40 2023,1675902340.6588163,1,2,3,25.49953125,31504,29.939132884022904,1014.9131276880381,-13.837482880495777,
Wed Feb  8 16:25:41 2023,1675902341.8512425,0,1,2,25.5055859375,32309,30.460917584231336,1014.9143968847534,-13.848035782653094,
Wed Feb  8 16:25:43 2023,1675902343.0495043,0,1,2,25.5087109375,32618,30.774868262187667,1014.9160528562631,-13.861804558387671,
Wed Feb  8 16:25:44 2023,1675902344.2478495,0,1,2,25.5114453125,33255,30.824697976182172,1014.9222424750799,-13.91326873283383,
Wed Feb  8 16:25:45 2023,1675902345.4460723,0,1,2,25.515546875,33507,30.742411163441425,1014.9323888848978,-13.997631472710637,
Wed Feb  8 16:25:46 2023,1675902346.6375618,0,1,2,25.518671875,33737,30.60504729965069,1014.9305970315374,-13.98273308422449,
Wed Feb  8 16:25:47 2023,1675902347.8357818,0,1,1,25.5221875,33814,30.45135574335711,1014.934614800966,-14.016138851653935,
Wed Feb  8 16:25:49 2023,1675902349.0339308,0,1,1,25.5258984375,34075,30.341779261849766,1014.932055868832,-13.994862607826272,
Wed Feb  8 16:25:50 2023,1675902350.2321827,0,1,1,25.5284375,34233,30.248651520010903,1014.9293069067667,-13.972006311555967,
Wed Feb  8 16:25:51 2023,1675902351.423661,0,1,1,25.5278515625,34580,30.12240698733738,1014.9317978192717,-13.992717052086954,
Wed Feb  8 16:25:52 2023,1675902352.6217027,0,1,1,25.5284375,34963,30.001854103203172,1014.9344786798242,-14.015007073380307,
Wed Feb  8 16:25:53 2023,1675902353.8132255,0,1,1,25.5294140625,35129,29.848590397561576,1014.9326257223172,-13.999600658967184,
Wed Feb  8 16:25:55 2023,1675902355.0047905,1,1,1,25.5286328125,35297,29.70081131050747,1014.9279019597492,-13.960324834065236,
