Local Time,Unix Time,PM1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude,
Wed Feb 22 14:42:36 2023,1677105756.5915823,0,0,0,24.131171875,9974,19.414735398254958,997.2927579643447,133.7101448877686,
Wed Feb 22 14:42:37 2023,1677105757.7845814,0,0,0,24.1430859375,1130,19.36504485097156,997.2981610536801,133.66457865421566,
Wed Feb 22 14:42:38 2023,1677105758.977522,0,0,0,24.1684765625,1739,19.311114227852357,997.299442656572,133.6537704564226,
Wed Feb 22 14:42:40 2023,1677105760.17051,0,0,0,24.188203125,2254,19.246811080689255,997.3019310539944,133.63278497758833,
Wed Feb 22 14:42:41 2023,1677105761.3637826,0,0,0,24.2012890625,2728,19.172097152913953,997.3040575930916,133.61485120333944,
Wed Feb 22 14:42:42 2023,1677105762.562888,0,0,0,24.2063671875,3410,19.11707579474244,997.3053445876565,133.60399758769765,
Wed Feb 22 14:42:43 2023,1677105763.7623239,0,0,0,24.205,3862,19.04663756673619,997.3117437556049,133.55003163126483,
Wed Feb 22 14:42:44 2023,1677105764.9616206,0,0,0,24.198359375,4304,18.996028449738798,997.3045054513708,133.6110742773018,
Wed Feb 22 14:42:46 2023,1677105766.1607783,0,0,0,24.186640625,4741,18.96021470559418,997.3045770325018,133.61047061182813,
Wed Feb 22 14:42:47 2023,1677105767.3534136,0,0,0,24.17375,5102,18.954463494463813,997.306202526956,133.59676233158683,
Wed Feb 22 14:42:48 2023,1677105768.5455709,0,0,0,24.15890625,5495,19.033966044155218,997.3132835007623,133.5370465755536,
Wed Feb 22 14:42:49 2023,1677105769.7378225,0,0,0,24.1407421875,6142,19.14348896364701,997.3167434338249,133.50786815458963,
Wed Feb 22 14:42:50 2023,1677105770.936659,0,0,0,24.1204296875,6637,19.18758228281246,997.3167469420424,133.50783856901725,
Wed Feb 22 14:42:52 2023,1677105772.1354082,0,0,0,24.0997265625,7094,19.19142538240358,997.3092436569677,133.57111562244384,
Wed Feb 22 14:42:53 2023,1677105773.3340936,0,0,0,24.0766796875,7566,19.16999125743587,997.3117231214687,133.55020564420275,
Wed Feb 22 14:42:54 2023,1677105774.532857,0,0,0,24.055390625,8081,19.108455249687218,997.3067124007738,133.59246241711895,
Wed Feb 22 14:42:55 2023,1677105775.7317357,0,0,0,24.034296875,8472,19.08212986688819,997.2968570144363,133.67557607702028,
Wed Feb 22 14:42:56 2023,1677105776.9306242,0,0,0,24.0133984375,8918,19.045779303354713,997.28903338102,133.74155578105484,
Wed Feb 22 14:42:58 2023,1677105778.129408,0,0,0,23.9923046875,9348,19.014452637908285,997.2808942149442,133.81019693793488,
Wed Feb 22 14:42:59 2023,1677105779.321569,0,0,0,23.9716015625,9736,18.9931978264837,997.2819761590794,133.8010724024219,
Wed Feb 22 14:43:00 2023,1677105780.5201693,0,0,0,23.95109375,10223,18.97195992062852,997.2799326467101,133.8183062944971,
Wed Feb 22 14:43:01 2023,1677105781.712408,0,0,0,23.9298046875,10647,18.970754086256953,997.2835058986976,133.78817141408499,
Wed Feb 22 14:43:02 2023,1677105782.911824,0,0,0,23.908125,10998,18.949457090462545,997.2847299363947,133.77784856030436,
Wed Feb 22 14:43:04 2023,1677105784.1080832,0,0,0,23.88703125,11868,18.953280699413206,997.2851756260402,133.77408986404072,
Wed Feb 22 14:43:05 2023,1677105785.3068953,0,0,0,23.8665234375,12297,18.932056140253472,997.2831246212965,133.79138689791924,
Wed Feb 22 14:43:06 2023,1677105786.4991117,0,0,0,23.84640625,12736,18.94596684396766,997.2782631494448,133.8323859641385,
Wed Feb 22 14:43:07 2023,1677105787.691471,0,0,0,23.8270703125,13121,18.93484260762485,997.2746568672806,133.8627995331173,
Wed Feb 22 14:43:08 2023,1677105788.8836722,0,0,0,23.8075390625,13556,18.933739305105743,997.2758902660079,133.85239765891504,
Wed Feb 22 14:43:10 2023,1677105790.0760496,0,0,0,23.7878125,13940,18.932625197015692,997.2750893437848,133.8591522392179,
Wed Feb 22 14:43:11 2023,1677105791.2684772,0,0,0,23.7684765625,14320,18.936548106620155,997.2749151347308,133.86062143245107,
