Local Time,Unix Time,PM1.0,PM2.5,PM10,
Wed Feb  8 15:45:49 2023,1675899950.000173,1,1,2,
Wed Feb  8 15:45:50 2023,1675899951.0025456,1,1,2,
Wed Feb  8 15:45:52 2023,1675899952.0054994,1,1,2,
Wed Feb  8 15:45:53 2023,1675899953.0084946,1,1,2,
Wed Feb  8 15:45:54 2023,1675899954.0108082,1,1,2,
Wed Feb  8 15:45:55 2023,1675899955.0130737,1,1,2,
Wed Feb  8 15:45:56 2023,1675899956.0153403,1,2,2,
Wed Feb  8 15:45:57 2023,1675899957.0176048,1,2,2,
Wed Feb  8 15:45:58 2023,1675899958.0199065,1,2,2,
Wed Feb  8 15:45:59 2023,1675899959.0222223,1,2,2,
Wed Feb  8 15:46:00 2023,1675899960.024573,1,2,2,
Wed Feb  8 15:46:01 2023,1675899961.0268326,1,2,2,
Wed Feb  8 15:46:02 2023,1675899962.0291188,1,2,2,
Wed Feb  8 15:46:03 2023,1675899963.0314164,1,2,2,
Wed Feb  8 15:46:04 2023,1675899964.033755,1,2,2,
Wed Feb  8 15:46:05 2023,1675899965.0359433,1,2,2,
Wed Feb  8 15:46:06 2023,1675899966.0382211,1,2,2,
Wed Feb  8 15:46:07 2023,1675899967.040585,1,2,2,
Wed Feb  8 15:46:08 2023,1675899968.0428596,1,2,2,
Wed Feb  8 15:46:09 2023,1675899969.0451562,1,2,2,
Wed Feb  8 15:46:10 2023,1675899970.047435,1,2,2,
Wed Feb  8 15:46:11 2023,1675899971.049759,1,2,2,
Wed Feb  8 15:46:12 2023,1675899972.0520592,1,2,2,
Wed Feb  8 15:46:13 2023,1675899973.0543678,1,2,2,
Wed Feb  8 15:46:14 2023,1675899974.0566893,1,2,2,
Wed Feb  8 15:46:15 2023,1675899975.0589736,1,2,2,
Wed Feb  8 15:46:16 2023,1675899976.0612876,1,2,2,
Wed Feb  8 15:46:17 2023,1675899977.0636013,2,2,2,
Wed Feb  8 15:46:18 2023,1675899978.0658727,2,2,2,
Wed Feb  8 15:46:19 2023,1675899979.068201,2,2,2,
