Local Time,Unix Time,PM1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude,
Wed Feb 15 16:02:02 2023,1676505722.5143037,0,0,0,23.581171875,86055,16.667302413844126,1012.3328516484987,7.638686787493832,
Wed Feb 15 16:02:03 2023,1676505723.7073524,0,0,0,23.5985546875,14029,16.619026670698737,1012.3320186322215,7.645627307007703,
Wed Feb 15 16:02:04 2023,1676505724.900299,0,0,0,23.6364453125,19011,16.54723548953108,1012.3302945628992,7.659991911094384,
Wed Feb 15 16:02:06 2023,1676505726.093278,0,0,0,23.6731640625,21999,16.46560234966532,1012.3386827070866,7.590103741535264,
Wed Feb 15 16:02:07 2023,1676505727.2866304,0,0,0,23.70578125,25107,16.383811066521172,1012.3386502608962,7.5903740751424,
Wed Feb 15 16:02:08 2023,1676505728.4789722,0,0,0,23.7329296875,26505,16.33121132361745,1012.3365608873121,7.607782232181756,
Wed Feb 15 16:02:09 2023,1676505729.6710827,0,0,0,23.7555859375,27682,16.25390540939541,1012.3426061890682,7.557414314915513,
Wed Feb 15 16:02:10 2023,1676505730.869772,0,0,0,23.775703125,28520,16.19610891141462,1012.353100252262,7.4699810267221824,
Wed Feb 15 16:02:12 2023,1676505732.0630465,0,0,0,23.7925,29025,16.167550272431846,1012.3444190303774,7.5423102294934266,
Wed Feb 15 16:02:13 2023,1676505733.256174,0,0,0,23.8075390625,29568,16.129119856905902,1012.3500589202094,7.495320389023082,
Wed Feb 15 16:02:14 2023,1676505734.449229,0,0,0,23.820625,30152,16.173827162177997,1012.3456325447074,7.5321995806281645,
Wed Feb 15 16:02:15 2023,1676505735.6423376,0,0,0,23.8317578125,30802,16.208660574735795,1012.3448941049006,7.538352045407955,
Wed Feb 15 16:02:16 2023,1676505736.8381193,0,0,0,23.8419140625,31281,16.238557999594494,1012.3408416025162,7.572116376267948,
Wed Feb 15 16:02:18 2023,1676505738.03271,0,0,0,23.852265625,31303,16.253770219986112,1012.3371073371276,7.6032293412383485,
Wed Feb 15 16:02:19 2023,1676505739.2257628,0,0,0,23.8626171875,31616,16.352347162904717,1012.3471275466471,7.519743672270659,
Wed Feb 15 16:02:20 2023,1676505740.4188473,0,0,0,23.8708203125,32238,16.465637706467092,1012.3502017329781,7.494130519383221,
Wed Feb 15 16:02:21 2023,1676505741.612034,0,0,0,23.8774609375,32499,16.539650647930195,1012.3490057164453,7.504095345195547,
Wed Feb 15 16:02:22 2023,1676505742.8053653,0,0,0,23.8821484375,32666,16.564456927724805,1012.3446213205743,7.540624805657728,
Wed Feb 15 16:02:24 2023,1676505744.0077772,0,0,0,23.8895703125,33057,16.60415539535662,1012.3481390518832,7.511316122071571,
Wed Feb 15 16:02:25 2023,1676505745.202802,0,0,0,23.896796875,33381,16.64385920172651,1012.3444599058639,7.541969666651841,
Wed Feb 15 16:02:26 2023,1676505746.3987277,0,0,0,23.9040234375,33789,16.65406076705553,1012.3493779132336,7.500994320016266,
Wed Feb 15 16:02:27 2023,1676505747.598219,0,0,0,23.910859375,34419,16.595392466950383,1012.3467801337148,7.5226382114358,
Wed Feb 15 16:02:28 2023,1676505748.797694,0,0,0,23.9180859375,34446,16.54168622638279,1012.3413806328056,7.567625318425192,
Wed Feb 15 16:02:29 2023,1676505749.9909616,0,0,0,23.9284375,34286,16.48815970553023,1012.3359228499143,7.613098211772282,
Wed Feb 15 16:02:31 2023,1676505751.1896758,0,0,0,23.9438671875,34127,16.508581582031653,1012.331874554024,7.646827737255116,
Wed Feb 15 16:02:32 2023,1676505752.3885014,0,0,0,23.96046875,34075,16.671667403407334,1012.322859118372,7.721942788983645,
Wed Feb 15 16:02:33 2023,1676505753.5808022,0,0,0,23.967890625,35074,16.834531257919323,1012.3194957742484,7.749965729665401,
Wed Feb 15 16:02:34 2023,1676505754.7796893,0,0,0,23.97453125,35018,16.834869486321608,1012.3131373455508,7.8029435268979555,
Wed Feb 15 16:02:35 2023,1676505755.978432,0,0,0,23.979609375,35553,16.800640372795314,1012.302508774797,7.891500325813322,
Wed Feb 15 16:02:37 2023,1676505757.1768177,0,0,0,23.9880078125,35638,16.737044771728186,1012.2869805707076,8.02088201447939,
Wed Feb 15 16:02:38 2023,1676505758.3732717,0,0,0,23.99484375,35986,16.653721782550956,1012.2843792349148,8.042556617414615,
Wed Feb 15 16:02:39 2023,1676505759.5667596,0,0,0,24.0020703125,36251,16.570476580145247,1012.2858546341052,8.030263430925766,
Wed Feb 15 16:02:40 2023,1676505760.758994,0,0,0,24.0118359375,36401,16.477590856858654,1012.2931933449858,7.96911670939728,
Wed Feb 15 16:02:41 2023,1676505761.9522626,0,0,0,24.0180859375,36733,16.369877103054215,1012.2947943862295,7.955776754376006,
Wed Feb 15 16:02:43 2023,1676505763.1445837,0,0,0,24.02375,36917,16.276944356495555,1012.2971588528682,7.936075932353182,
Wed Feb 15 16:02:44 2023,1676505764.3467414,0,0,0,24.0274609375,37258,16.18398918877569,1012.2963357693012,7.942933890340763,
Wed Feb 15 16:02:45 2023,1676505765.5399048,0,0,0,24.02765625,37258,16.095832727415633,1012.288055427896,8.011926204702933,
Wed Feb 15 16:02:46 2023,1676505766.7331204,0,0,0,24.029609375,37543,16.0127229707677,1012.2964023166321,7.942379415732027,
Wed Feb 15 16:02:47 2023,1676505767.924143,0,0,0,24.0333203125,37448,15.949316815852056,1012.3058981197166,7.863260366518806,
Wed Feb 15 16:02:49 2023,1676505769.116972,0,0,0,24.0348828125,37703,15.890728566646361,1012.3015687354698,7.899332729698221,
Wed Feb 15 16:02:50 2023,1676505770.3130214,0,0,0,24.033125,37639,15.866209268317695,1012.2969802136743,7.937564359311456,
Wed Feb 15 16:02:51 2023,1676505771.5077288,0,0,0,24.0286328125,37864,15.836678485518014,1012.3085671600588,7.841022025543561,
Wed Feb 15 16:02:52 2023,1676505772.7028933,0,0,0,24.0243359375,37671,15.841356275941047,1012.3032745187265,7.885120154835459,
Wed Feb 15 16:02:53 2023,1676505773.8959756,0,0,0,24.01828125,38059,15.885038318731814,1012.3019923052505,7.895803547264442,
Wed Feb 15 16:02:55 2023,1676505775.0892737,0,0,0,24.009296875,38423,15.904152928043018,1012.3045275215984,7.874680155515968,
Wed Feb 15 16:02:56 2023,1676505776.2824862,0,0,0,23.995234375,38557,15.893697607789896,1012.3073732558416,7.850969583467982,
Wed Feb 15 16:02:57 2023,1676505777.4757636,0,0,0,23.9813671875,38691,15.853938399275561,1012.2967791835149,7.939239348700376,
Wed Feb 15 16:02:58 2023,1676505778.66907,0,0,0,23.963203125,38964,15.804222835378088,1012.2980880037227,7.928334223840548,
Wed Feb 15 16:02:59 2023,1676505779.8628438,0,0,0,23.9423046875,39136,15.759282859237882,1012.3000911687534,7.911643821518104,
Wed Feb 15 16:03:01 2023,1676505781.0557854,0,0,0,23.927265625,38998,15.7244032441733,1012.2944603519846,7.958559942853888,
Wed Feb 15 16:03:02 2023,1676505782.2486606,0,0,0,23.9133984375,39102,15.713982086726885,1012.2890219887754,8.00387273639357,
Wed Feb 15 16:03:03 2023,1676505783.4416215,0,0,0,23.9012890625,39067,15.698769009676015,1012.2830131415585,8.053939068743695,
Wed Feb 15 16:03:04 2023,1676505784.6345572,0,0,0,23.8909375,38930,15.722663906889705,1012.2833119022778,8.051449758055059,
Wed Feb 15 16:03:05 2023,1676505785.8301632,0,0,0,23.88078125,39067,15.810022302561032,1012.28564840004,8.031981794707342,
Wed Feb 15 16:03:07 2023,1676505787.0221975,0,0,0,23.8712109375,39345,15.921904740594893,1012.2872213668572,8.018875677960155,
Wed Feb 15 16:03:08 2023,1676505788.2208052,0,0,0,23.8563671875,39415,16.00429090595246,1012.2819054821875,8.063168226692545,
Wed Feb 15 16:03:09 2023,1676505789.4129004,0,0,0,23.838203125,39769,16.027860695365977,1012.2918008820528,7.980718793481482,
Wed Feb 15 16:03:10 2023,1676505790.6115623,0,0,0,23.821015625,39841,15.958572167335891,1012.2860956688223,8.02825510482742,
Wed Feb 15 16:03:11 2023,1676505791.8102953,0,0,0,23.8016796875,39949,15.898997847433309,1012.2889168927069,8.00474840556663,
Wed Feb 15 16:03:13 2023,1676505793.0095792,0,0,0,23.7837109375,39769,15.90301467478012,1012.2870914469936,8.019958182621654,
Wed Feb 15 16:03:14 2023,1676505794.2022882,0,0,0,23.7622265625,40349,15.95572235032131,1012.2829637349882,8.054350730361472,
Wed Feb 15 16:03:15 2023,1676505795.4016056,0,0,0,23.73234375,40497,15.954274440719093,1012.285752155088,8.031117296771983,
Wed Feb 15 16:03:16 2023,1676505796.594138,0,0,0,23.70109375,40720,15.86972381092915,1012.289742159996,7.997872211943422,
Wed Feb 15 16:03:17 2023,1676505797.7934384,0,0,0,23.6735546875,40909,15.751281030567409,1012.282597340991,8.057403570694028,
Wed Feb 15 16:03:18 2023,1676505798.9860752,0,0,0,23.651484375,41098,15.652727597456494,1012.2929726445973,7.970955597315447,
Wed Feb 15 16:03:20 2023,1676505800.1788712,0,0,0,23.6262890625,41098,15.558991417092487,1012.2930863952116,7.970007820828096,
Wed Feb 15 16:03:21 2023,1676505801.3711576,0,0,0,23.603046875,41060,15.48002983258744,1012.294667678707,7.956832487110221,
Wed Feb 15 16:03:22 2023,1676505802.569792,0,0,0,23.5786328125,41523,15.459424445447967,1012.2891770341109,8.002580885912973,
Wed Feb 15 16:03:23 2023,1676505803.7699122,0,0,0,23.5544140625,41406,15.433972309954287,1012.2925958960452,7.974094687966858,
Wed Feb 15 16:03:24 2023,1676505804.96866,0,0,0,23.5321484375,41562,15.36974132102563,1012.2820161485683,8.06224614004571,
Wed Feb 15 16:03:26 2023,1676505806.167481,0,0,0,23.510859375,41484,15.315312085278062,1012.2919325679578,7.979621578126393,
Wed Feb 15 16:03:27 2023,1676505807.359579,0,0,0,23.492109375,41640,15.275595458163732,1012.2956822859371,7.948378737353337,
Wed Feb 15 16:03:28 2023,1676505808.5517132,0,0,0,23.4696484375,41836,15.259989597457484,1012.3002433782061,7.910375611073064,
Wed Feb 15 16:03:29 2023,1676505809.7438085,0,0,0,23.4501171875,41876,15.244523613407951,1012.3027132867494,7.8897963338325185,
Wed Feb 15 16:03:30 2023,1676505810.9424624,0,0,0,23.4325390625,41797,15.243708130203313,1012.3032163713006,7.885604638484991,
Wed Feb 15 16:03:32 2023,1676505812.141167,0,0,0,23.4137890625,42398,15.242838446733801,1012.2983677558835,7.926003322860707,
Wed Feb 15 16:03:33 2023,1676505813.3332126,0,0,0,23.3938671875,42115,15.246766610275984,1012.2967583578221,7.9394128690236485,
Wed Feb 15 16:03:34 2023,1676505814.5253878,0,0,0,23.372578125,42602,15.206971372875653,1012.2997866657615,7.914180943477999,
Wed Feb 15 16:03:35 2023,1676505815.7241254,0,0,0,23.3587109375,41758,15.186931723764214,1012.299472554284,7.916798124084853,
Wed Feb 15 16:03:36 2023,1676505816.922942,0,0,0,23.345625,41797,15.244529594617882,1012.3038696634926,7.880161417127357,
Wed Feb 15 16:03:38 2023,1676505818.1216002,0,0,0,23.3329296875,42155,15.326443985079905,1012.2985959575672,7.924101941946336,
Wed Feb 15 16:03:39 2023,1676505819.3202796,0,0,0,23.31984375,42195,15.413254157148655,1012.2995555018279,7.916107004090339,
Wed Feb 15 16:03:40 2023,1676505820.5123112,0,0,0,23.312421875,41916,15.471223493712602,1012.2994583447646,7.916916517987391,
Wed Feb 15 16:03:41 2023,1676505821.7109168,0,0,0,23.306171875,41601,15.577921491538032,1012.3012750850411,7.901779425089897,
Wed Feb 15 16:03:42 2023,1676505822.9029648,0,0,0,23.3005078125,41916,15.6944871226859,1012.2954592045157,7.950237460472572,
Wed Feb 15 16:03:44 2023,1676505824.0950887,0,0,0,23.2969921875,42075,15.796648226021876,1012.2948704413608,7.955143059675542,
Wed Feb 15 16:03:45 2023,1676505825.2937932,0,0,0,23.29484375,41758,15.88920826102363,1012.2913611655277,7.984382540440666,
Wed Feb 15 16:03:46 2023,1676505826.4858937,0,1,1,23.2966015625,41445,16.016219275068092,1012.2839250668293,8.04634079820853,
Wed Feb 15 16:03:47 2023,1676505827.6779182,0,1,1,23.300703125,41367,16.197293297906153,1012.2820350431595,8.062088707868817,
Wed Feb 15 16:03:48 2023,1676505828.8699496,0,0,0,23.3051953125,41445,16.368880719526434,1012.2893725049668,8.000952206903406,
Wed Feb 15 16:03:50 2023,1676505830.0620449,0,0,0,23.3110546875,41679,16.535892986174584,1012.2955072744913,7.949836939529242,
Wed Feb 15 16:03:51 2023,1676505831.2539523,0,0,0,23.3161328125,41876,16.649069808645976,1012.2952121054369,7.95229630003722,
Wed Feb 15 16:03:52 2023,1676505832.445967,0,0,0,23.32140625,41836,16.708296437585457,1012.2935178792206,7.966412672679373,
Wed Feb 15 16:03:53 2023,1676505833.637927,0,0,0,23.324921875,42357,16.77238400302724,1012.2992601606245,7.9185677909818395,
Wed Feb 15 16:03:54 2023,1676505834.83664,0,0,0,23.3290234375,42115,16.78734503538951,1012.293933684116,7.962948164931372,
Wed Feb 15 16:03:56 2023,1676505836.0353394,0,0,0,23.332734375,42236,16.782614427928436,1012.2948409787533,7.955388543409898,
Wed Feb 15 16:03:57 2023,1676505837.2273283,0,0,0,23.337421875,42520,16.76809780020515,1012.2973432741243,7.934539329308663,
Wed Feb 15 16:03:58 2023,1676505838.419432,0,0,0,23.34171875,42155,16.709319019323072,1012.2992074885931,7.919006655119318,
Wed Feb 15 16:03:59 2023,1676505839.6181893,0,0,0,23.3471875,42766,16.68993559627454,1012.2978316310326,7.930470327030465,
Wed Feb 15 16:04:00 2023,1676505840.8169186,0,0,0,23.353046875,42520,16.675488233193843,1012.3022477360204,7.893675299258453,
Wed Feb 15 16:04:02 2023,1676505842.016121,0,0,0,23.3606640625,42195,16.68078501234386,1012.2940723002218,7.961793208673592,
Wed Feb 15 16:04:03 2023,1676505843.2149348,0,0,0,23.370625,42195,16.740270991707302,1012.2914424408087,7.983705349365225,
Wed Feb 15 16:04:04 2023,1676505844.4068675,0,0,0,23.379609375,41955,16.834182057498566,1012.2958076340813,7.947334331862292,
Wed Feb 15 16:04:05 2023,1676505845.605456,0,0,0,23.3872265625,42438,16.952732126985385,1012.2979396460112,7.929570343678209,
Wed Feb 15 16:04:06 2023,1676505846.8040671,0,0,0,23.3923046875,42643,17.0022628981286,1012.2959245900316,7.946359850544086,
Wed Feb 15 16:04:08 2023,1676505848.0033476,0,0,0,23.397578125,42766,17.017318527739942,1012.2976646821938,7.931861348855625,
Wed Feb 15 16:04:09 2023,1676505849.2022355,0,0,0,23.4028515625,43016,16.963382333262587,1012.3011228465824,7.903047876167638,
Wed Feb 15 16:04:10 2023,1676505850.4013958,0,0,0,23.4075390625,42932,16.914364945569677,1012.2967512633559,7.939471980336292,
Wed Feb 15 16:04:11 2023,1676505851.5942743,0,0,0,23.41046875,42974,16.86527823954882,1012.299817827787,7.913921301142469,
Wed Feb 15 16:04:12 2023,1676505852.7935379,0,0,0,23.4126171875,43226,16.811252050713495,1012.2912992861616,7.984898123483578,
Wed Feb 15 16:04:13 2023,1676505853.9927478,0,0,0,23.41359375,43438,16.7571917081198,1012.2911759887153,7.985925446188796,
