Local Time,Unix Time,PM1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude,
Wed Feb 22 14:46:31 2023,1677105991.9029832,0,0,0,21.8633984375,39556,21.540198723133265,997.3551802949795,133.18372666947099,
Wed Feb 22 14:46:33 2023,1677105993.095922,0,0,0,21.8805859375,4661,21.5412695034634,997.3554810121288,133.18119073475316,
Wed Feb 22 14:46:34 2023,1677105994.2888947,0,0,0,21.916328125,6986,21.523080314290432,997.3514292174018,133.21535939651437,
Wed Feb 22 14:46:35 2023,1677105995.4821165,0,0,0,21.951484375,8783,21.453832645493712,997.3378589614254,133.32979777124368,
Wed Feb 22 14:46:36 2023,1677105996.6755888,0,0,0,21.98234375,10167,21.37924996007159,997.3310634214032,133.3871052373674,
Wed Feb 22 14:46:37 2023,1677105997.8677723,0,0,0,22.008515625,11302,21.334991360387075,997.325274632914,133.43592291687455,
Wed Feb 22 14:46:39 2023,1677105999.0598717,0,0,0,22.0305859375,12773,21.2701119235012,997.3282940341237,133.41045984691755,
Wed Feb 22 14:46:40 2023,1677106000.2527137,0,0,0,22.04953125,13656,21.210160911937496,997.3279875912149,133.41304412376226,
Wed Feb 22 14:46:41 2023,1677106001.445257,0,0,0,22.0641796875,14488,21.149970966781808,997.3121836941249,133.54632151812498,
Wed Feb 22 14:46:42 2023,1677106002.6439967,0,0,0,22.0755078125,15185,21.10995467383948,997.3150200352746,133.52240196551583,
Wed Feb 22 14:46:43 2023,1677106003.8358188,0,0,0,22.08546875,15849,21.064779545306454,997.3087964719765,133.57488685592566,
Wed Feb 22 14:46:45 2023,1677106005.0275922,0,0,0,22.0938671875,16487,21.024608573190655,997.3069092796954,133.59080208027962,
Wed Feb 22 14:46:46 2023,1677106006.2197404,0,0,0,22.1005078125,17060,20.989425529275014,997.2987604021089,133.65952414146867,
Wed Feb 22 14:46:47 2023,1677106007.4142811,0,0,0,22.1063671875,17659,20.964368465624126,997.2996355409248,133.65214379733882,
Wed Feb 22 14:46:48 2023,1677106008.6066496,0,0,0,22.1114453125,18182,20.92910603647238,997.2992512461112,133.6553846859338,
Wed Feb 22 14:46:49 2023,1677106009.7985528,0,0,0,22.1149609375,18658,20.90391761650754,997.3049180913708,133.6075943590159,
Wed Feb 22 14:46:50 2023,1677106010.9908674,0,0,0,22.1175,19109,20.883753766800673,997.3004409445169,133.64535155877363,
Wed Feb 22 14:46:52 2023,1677106012.182566,0,0,0,22.11984375,19670,20.85850298667497,997.2922209541158,133.71467370285725,
Wed Feb 22 14:46:53 2023,1677106013.375176,0,0,0,22.12296875,20154,20.838381772585013,997.2989720528801,133.65773921783926,
Wed Feb 22 14:46:54 2023,1677106014.567898,0,0,0,22.1253125,20567,20.818216298811773,997.2993219057232,133.65478878936804,
