Local Time,Unix Time,PM1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude,
Wed Feb 15 16:31:42 2023,1676507502.1241455,0,0,0,23.7821484375,15714,16.721703436396627,1012.4341087912035,6.795067636964925,
Wed Feb 15 16:31:43 2023,1676507503.3171062,0,0,0,23.8003125,3427,16.68818191234893,1012.4328188489806,6.805814300670279,
Wed Feb 15 16:31:44 2023,1676507504.5100439,0,0,0,23.8372265625,6240,16.64085858933536,1012.4294715730846,6.8337009101968444,
Wed Feb 15 16:31:45 2023,1676507505.7030447,0,0,0,23.8739453125,9020,16.62303721707355,1012.4378349040504,6.764025005247384,
Wed Feb 15 16:31:46 2023,1676507506.8963156,0,0,0,23.9071484375,12082,16.609956187592335,1012.4335760669497,6.799505825411737,
Wed Feb 15 16:31:48 2023,1676507508.0928276,0,0,0,23.9356640625,14652,16.6212260001457,1012.4371364341458,6.7698440232555885,
Wed Feb 15 16:31:49 2023,1676507509.2920756,0,0,0,23.9606640625,17060,16.58806245684541,1012.4383941229069,6.7593661030660455,
Wed Feb 15 16:31:50 2023,1676507510.4917703,0,0,0,23.981171875,19192,16.549764137129056,1012.4340362975033,6.795671590402522,
Wed Feb 15 16:31:51 2023,1676507511.6911874,0,0,0,23.99796875,21178,16.486722948782365,1012.4322179269756,6.810820657908298,
Wed Feb 15 16:31:52 2023,1676507512.8901522,0,0,0,24.0128125,22864,16.418704451286004,1012.4375290028125,6.7665734966287205,
